Log,Score
"www.sitgesanytime.com 80.32.126.242 - - [22/Jan/2024:00:33:35 +0100] ""GET /plantilles/turisme/css/animate.css HTTP/2.0"" 200 4768 ""https://www.sitgesanytime.com/es/explora/descubrimos-nuestro-legado/un-paseo-por-el-casco-antiguo.htm"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1"",0.030977511778473854"
"www.sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:22 +0100] ""HEAD /ca/pl30/planifica-el-teu-viatge/mapa-de-serveis/id110/buti.htm HTTP/1.1"" 200 906 ""-"" ""Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3442.104 Safari/537.36"",0.020920177921652794"
"www.sitgesanytime.com 176.9.10.174 - - [22/Jan/2024:15:00:23 +0100] ""GET /nl/pl415/blog/lijst-met-blogs/id8/Enlace%20a:%20https:/www.fotogramas.es/festival-de-sitges/g14508771/sitges-ganadoras-mejor-pelicula/ HTTP/1.1"" 403 6112 ""-"" ""Mozilla/5.0 (compatible; AwarioBot/1.0; +https://awario.com/bots.html)"",0.01759389042854309"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:45 +0100] ""HEAD /de/planen-sie-ihre-reise/sitges-auf-einen-blick/id110/buti.htm HTTP/1.1"" 301 4845 ""-"" ""Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3924.127 Safari/537.36"",0.012966521084308624"
"www.sitgesfilmoffice.es 149.56.150.67 - - [22/Jan/2024:00:34:58 +0100] ""GET /media/site1/cache/images/img-0158-redim-prop-enc-w400-h238.jpg HTTP/1.1"" 200 20081 ""http://www.sitgesfilmoffice.es/en/"" ""Mozilla/5.0 (compatible; Dataprovider.com)"",0.01241186261177063"
"www.sitgesanytime.com 168.119.68.238 - - [22/Jan/2024:14:58:25 +0100] ""GET /plantilles/turisme/css/estils-mw1200.css?v=7 HTTP/2.0"" 200 221 ""https://www.sitgesanytime.com/de/pag492/pl96/explora-platges-i-ports-2/id2/balmins.htm"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"",0.007575217634439468"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:21 +0100] ""HEAD /fr/pl30/planifiez-votre-voyage/carte-des-services/id110/buti.htm HTTP/1.1"" 301 4847 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3109.193 Safari/537.36"",0.00719839334487915"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:23 +0100] ""GET /es/pl30/planifica-el-teu-viatge/mapa-de-servicios/id110/buti.htm HTTP/1.1"" 301 675 ""-"" ""Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2998.126 Safari/537.36"",0.006812168750911951"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:45 +0100] ""HEAD /fr/pl30/planifiez-votre-voyage/carte-des-services/id110/buti.htm HTTP/1.1"" 301 4847 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3489.82 Safari/537.36"",0.0035907900892198086"
"sitgesanytime.com 47.76.35.19 - - [22/Jan/2024:15:00:23 +0100] ""GET /ca/pl30/planifica-el-teu-viatge/mapa-de-serveis/id110/buti.htm HTTP/1.1"" 301 671 ""-"" ""Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3442.104 Safari/537.36"",0.0032913642935454845"
"www.sitgesfilmoffice.es 149.56.150.67 - - [22/Jan/2024:00:34:58 +0100] ""GET /plantilles/turisme/img/plus-more-info.png HTTP/1.1"" 200 1214 ""http://www.sitgesfilmoffice.es/plantilles/turisme/css/estils-base.css?v=23"" ""Mozilla/5.0 (compatible; Dataprovider.com)"",0.003245650790631771"
